PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,dataset,duplicate_count,duplicate
38709885,"Vascular function and skeletal fragility: a study of tonometry, brachial hemodynamics, and bone microarchitecture","Usiskin IM, Mitchell GF, Bouxsein ML, Liu CT, Kiel DP, Samelson EJ.",J Bone Miner Res. 2024 Aug 5;39(7):906-917. doi: 10.1093/jbmr/zjae071.,Usiskin IM,J Bone Miner Res,2024,2024/05/06,PMC11301519,,10.1093/jbmr/zjae071,"search_020, search_021",2,duplicate
38219339,A convolutional neural network-based method for the generation of super-resolution 3D models from clinical CT images,"Zhou Y, Klintström E, Klintström B, Ferguson SJ, Helgason B, Persson C.",Comput Methods Programs Biomed. 2024 Mar;245:108009. doi: 10.1016/j.cmpb.2024.108009. Epub 2024 Jan 6.,Zhou Y,Comput Methods Programs Biomed,2024,2024/01/14,,,10.1016/j.cmpb.2024.108009,"search_020, search_021",2,duplicate
38106266,Measuring the binary thickness of buccal bone of anterior maxilla in low-resolution cone-beam computed tomography via a bilinear convolutional neural network,"Gong Z, Li X, Shi M, Cai G, Chen S, Ye Z, Gan X, Yang R, Wang R, Chen Z.",Quant Imaging Med Surg. 2023 Dec 1;13(12):8053-8066. doi: 10.21037/qims-23-744. Epub 2023 Oct 7.,Gong Z,Quant Imaging Med Surg,2023,2023/12/18,PMC10722026,,10.21037/qims-23-744,"search_020, search_021",2,duplicate
37371014,Automated Opportunistic Trabecular Volumetric Bone Mineral Density Extraction Outperforms Manual Measurements for the Prediction of Vertebral Fractures in Routine CT,"Goller SS, Rischewski JF, Liebig T, Ricke J, Siller S, Schmidt VF, Stahl R, Kulozik J, Baum T, Kirschke JS, Foreman SC, Gersing AS.",Diagnostics (Basel). 2023 Jun 20;13(12):2119. doi: 10.3390/diagnostics13122119.,Goller SS,Diagnostics (Basel),2023,2023/06/28,PMC10296803,,10.3390/diagnostics13122119,"search_020, search_021",2,duplicate
36086069,Semantic Segmentation of Micro-CT Images to Analyze Bone Ingrowth into Biodegradable Scaffolds,"Ganeshaaraj G, Kaushalya S, Kondarage AI, Karunaratne A, Jones JR, Nanayakkara ND.",Annu Int Conf IEEE Eng Med Biol Soc. 2022 Jul;2022:3830-3833. doi: 10.1109/EMBC48229.2022.9870828.,Ganeshaaraj G,Annu Int Conf IEEE Eng Med Biol Soc,2022,2022/09/10,,,10.1109/EMBC48229.2022.9870828,"search_020, search_021, search_028",3,duplicate
35975837,Predicting the effective compressive modulus of human cancellous bone using the convolutional neural network method,"Lu Y, Yang Z, Zhu H, Wu C.",Comput Methods Biomech Biomed Engin. 2023 Sep;26(10):1150-1159. doi: 10.1080/10255842.2022.2112183. Epub 2022 Aug 17.,Lu Y,Comput Methods Biomech Biomed Engin,2023,2022/08/17,,,10.1080/10255842.2022.2112183,"search_020, search_021",2,duplicate
33221674,Noise reduction using novel loss functions to compute tissue mineral density and trabecular bone volume fraction on low resolution QCT,"Thomsen FSL, Delrieux CA, Pisula JI, Fuertes García JM, Lucena M, de Luis García R, Borggrefe J.",Comput Med Imaging Graph. 2020 Dec;86:101816. doi: 10.1016/j.compmedimag.2020.101816. Epub 2020 Nov 10.,Thomsen FSL,Comput Med Imaging Graph,2020,2020/11/22,,,10.1016/j.compmedimag.2020.101816,"search_020, search_021",2,duplicate
33019366,Automatic Nasal PAP Mask Sizing with a Deep Unet,"Johnston B, de Chazal P.",Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:6115-6118. doi: 10.1109/EMBC44109.2020.9176291.,Johnston B,Annu Int Conf IEEE Eng Med Biol Soc,2020,2020/10/06,,,10.1109/EMBC44109.2020.9176291,"search_021, search_028",2,duplicate
30683763,Generation of PET Attenuation Map for Whole-Body Time-of-Flight (18)F-FDG PET/MRI Using a Deep Neural Network Trained with Simultaneously Reconstructed Activity and Attenuation Maps,"Hwang D, Kang SK, Kim KY, Seo S, Paeng JC, Lee DS, Lee JS.",J Nucl Med. 2019 Aug;60(8):1183-1189. doi: 10.2967/jnumed.118.219493. Epub 2019 Jan 25.,Hwang D,J Nucl Med,2019,2019/01/27,PMC6681691,,10.2967/jnumed.118.219493,"search_021, search_022, search_023, search_024, search_025, search_026, search_027, search_028",8,duplicate
29449446,Improving the Accuracy of Simultaneously Reconstructed Activity and Attenuation Maps Using Deep Learning,"Hwang D, Kim KY, Kang SK, Seo S, Paeng JC, Lee DS, Lee JS.",J Nucl Med. 2018 Oct;59(10):1624-1629. doi: 10.2967/jnumed.117.202317. Epub 2018 Feb 15.,Hwang D,J Nucl Med,2018,2018/02/17,,,10.2967/jnumed.117.202317,"search_021, search_023, search_024, search_025, search_026, search_028",6,duplicate
