PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
32437969,Automating three-dimensional osteoarthritis histopathological grading of human osteochondral tissue using machine learning on contrast-enhanced micro-computed tomography,"Rytky SJO, Tiulpin A, Frondelius T, Finnilä MAJ, Karhula SS, Leino J, Pritzker KPH, Valkealahti M, Lehenkari P, Joukainen A, Kröger H, Nieminen HJ, Saarakkala S.",Osteoarthritis Cartilage. 2020 Aug;28(8):1133-1144. doi: 10.1016/j.joca.2020.05.002. Epub 2020 May 11.,Rytky SJO,Osteoarthritis Cartilage,2020,5/22/20,10.1016/j.joca.2020.05.002,Yes,Yes,Yes,Yes,,,Yes into ML,,Classification; Prediction; Segmentation; Data Reduction; Radiomics,microCT,Human,Ex Vivo,Linear Regression; Logistic Regression; UNet; Radiomics-Local Binary Pattern ,1.33; 0.7; 0.9
31917770,Intrinsic Measures and Shape Analysis of the Intratemporal Facial Nerve,"Hudson TJ, Gare B, Allen DG, Ladak HM, Agrawal SK.",Otol Neurotol. 2020 Mar;41(3):e378-e386. doi: 10.1097/MAO.0000000000002552.,Hudson TJ,Otol Neurotol,2020,1/10/20,10.1097/MAO.0000000000002552,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
32646372,What makes a fang? Phylogenetic and ecological controls on tooth evolution in rear-fanged snakes,"Westeen EP, Durso AM, Grundler MC, Rabosky DL, Davis Rabosky AR.",BMC Evol Biol. 2020 Jul 9;20(1):80. doi: 10.1186/s12862-020-01645-0.,Westeen EP,BMC Evol Biol,2020,7/11/20,10.1186/s12862-020-01645-0,,,,,,,Yes,,Data Reduction,microCT,Snakes,Ex Vivo,Principal Component Analysis,
32790104,Skeletal and muscular pelvic morphology of hillstream loaches (Cypriniformes: Balitoridae),"Crawford CH, Randall ZS, Hart PB, Page LM, Chakrabarty P, Suvarnaraksha A, Flammang BE.",J Morphol. 2020 Oct;281(10):1280-1295. doi: 10.1002/jmor.21247. Epub 2020 Aug 13.,Crawford CH,J Morphol,2020,8/14/20,10.1002/jmor.21247,,,,,,,Yes,,Data Reduction,microCT,Fish (Rheophilic hillstream loaches),Ex Vivo,Principal Component Analysis,
31880831,"Micromorphology of osteoderms in Dasypodidae (Cingulata, Mammalia): Characterization and 3D-reconstructions","Scarano AC, Ciancio MR, Barbeito-Andrés J, Barbeito CG, Krmpotic CM.",J Morphol. 2020 Feb;281(2):258-272. doi: 10.1002/jmor.21096. Epub 2019 Dec 27.,Scarano AC,J Morphol,2020,12/28/19,10.1002/jmor.21096,,,,,,,Yes,,Data Reduction,microCT,Armadillos (Dasypodidae),Ex Vivo,Principal Component Analysis,
32580077,A virtual assessment of the suprainiac depressions on the Eyasi I (Tanzania) and Aduma ADU-VP-1/3 (Ethiopia) Pleistocene hominin crania,"Bosman AM, Reyes-Centeno H, Harvati K.",J Hum Evol. 2020 Aug;145:102815. doi: 10.1016/j.jhevol.2020.102815. Epub 2020 Jun 21.,Bosman AM,J Hum Evol,2020,6/25/20,10.1016/j.jhevol.2020.102815,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
37780057,Relationships Among Bone Morphological Parameters and Mechanical Properties of Cadaveric Human Vertebral Cancellous Bone,"Al-Barghouthi A, Lee S, Solitro GF, Latta L, Travascio F.",JBMR Plus. 2020 Mar 12;4(5):e10351. doi: 10.1002/jbm4.10351. eCollection 2020 May.,Al-Barghouthi A,JBMR Plus,2020,10/2/23,10.1002/jbm4.10351,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
31935695,A cell-based dosimetry model for radium-223 dichloride therapy using bone micro-CT images and GATE simulations,"Pinto GM, Bonifacio DAB, de Sá LV, Lima LFC, Vieira IF, Lopes RT.",Phys Med Biol. 2020 Feb 12;65(4):045010. doi: 10.1088/1361-6560/ab6b42.,Pinto GM,Phys Med Biol,2020,1/15/20,10.1088/1361-6560/ab6b42,,Yes,,,,Yes,,,Segmentation; Clustering,microCT,Mouse,Ex Vivo,Fuzzy c-means Clustering,Not Reported
32140759,Self-perceived Fracture Risk in the Global Longitudinal Study of Osteoporosis in Women: Its Correlates and Relationship with Bone Microarchitecture,"Litwic AE, Westbury LD, Carter S, Ward KA, Cooper C, Dennison EM.",Calcif Tissue Int. 2020 Jun;106(6):625-636. doi: 10.1007/s00223-020-00680-9. Epub 2020 Mar 5.,Litwic AE,Calcif Tissue Int,2020,3/7/20,10.1007/s00223-020-00680-9,,,,,,Yes,,,Clustering,HRpQCT,Human,In Vivo,Hierarchical Clustering,
31883141,Is variation in tail vertebral morphology linked to habitat use in chameleons?,"Luger AM, Ollevier A, De Kegel B, Herrel A, Adriaens D.",J Morphol. 2020 Feb;281(2):229-239. doi: 10.1002/jmor.21093. Epub 2019 Dec 28.,Luger AM,J Morphol,2020,12/29/19,10.1002/jmor.21093,,,,,,,,,Data Reduction,microCT,Chameleons,Ex Vivo,Principal Component Analysis,
